"ID","Vereda","Nombre","Este","Norte","msnm","Altura_m_","OFFSETA","longitude","latitude","Azimuth_Farallon_Montenegro","Azimuth_Farallon_La_Pintada"
1,"Otrabanda","San Antonio 1",1150591,1118149,1693,2,1695,-75.7182614401572,5.66302366165929,61.1092501589376,72.63644098798
2,"Otrabanda","San Antonio 2",1150597,1118153,1693,1,1694,-75.7182072094786,5.6630596956512,61.1120790491902,72.6458497771362
3,"Otrabanda","San Antonio 3",1150591,1118151,1693,1,1694,-75.7182613978977,5.66304174215766,61.1171011546122,72.6452230495519
4,"Otrabanda","Chispas 1",1150406,1118416,1733,6.5,1739.5,-75.7199253113148,5.66544132324333,62.5501856606577,74.049207940318
5,"Otrabanda","Chispas 2",1150387,1118424,1739,3.5,1742.5,-75.7200966060993,5.66551404711066,62.6206432383856,74.107849335547
6,"Otrabanda","La Peña 1",1150341,1118679,1745,6.5,1751.5,-75.7205063461143,5.66782028516347,63.7312268587286,75.2844962145215
7,"Otrabanda","La Peña 2",1150294,1118714,1761,4.5,1765.5,-75.7209297562041,5.66813768806789,63.9643175080458,75.4925169842576
8,"Casco Urbano","Estadio",1150850,1118274,1678,9.5,1687.5,-75.7159214861886,5.66414820474318,61.0405014864034,72.8362382329524
9,"Casco Urbano","El Liceo",1150937,1118786,1685,5.5,1690.5,-75.715125516349,5.66877496014465,62.9492561661704,75.0592741563976
10,"Casco Urbano","Jardín Botánico",1150670,1118711,1682,1.5,1683.5,-75.7175366293318,5.66810260711144,63.1973249288502,75.0403008293707
11,"San Luis","Cristo Rey 1",1150682,1119384,1712,7,1719,-75.7174140864888,5.67418643660585,66.0035807834108,78.1164770852577
12,"San Luis","Cristo Rey 2",1150755,1119302,1694,2,1696,-75.7167570337982,5.67344358735369,65.5101447759939,77.6621665131223
13,"San Luis","Cristo Rey 3",1150673,1119480,1713,2.5,1715.5,-75.717493273477,5.67505449089323,66.4350833532399,78.5720328035914
14,"San Luis","Las Nieves",1151061,1119372,1645,2,1647,-75.7139940470786,5.67406990071684,65.2075377167369,77.6788418490585
15,"San Luis","Cementerio",1151145,1119274,1658,2,1660,-75.7132380702263,5.67318217091389,64.6047871989871,77.1194819421213
16,"San Luis","El Guadual",1150569,1120717,1637,2.3,1639.3,-75.7184056098896,5.68623947958336,72.1588909982569,84.487535959358
17,"San Luis","El Cafetal",1150588,1120762,1632,1.8,1633.8,-75.7182331853838,5.68664588666665,72.3396508459017,84.6938474010162
18,"San Luis","El Motor",1150784,1120796,1596,1.8,1597.8,-75.7164636172249,5.68694908590125,72.2071054513995,84.7711690512351
19,"San Luis","San Luis",1150545,1121207,1611,3.8,1614.8,-75.7186118055671,5.69066970844329,74.4873709705171,86.838526726916
20,"El Hacha","La Miranda 1",1150854,1121715,1497,5,1502,-75.7158123364581,5.69525556816713,76.5652890531283,89.2569383882902
21,"El Hacha","La Miranda 2",1150965,1121692,1490,2,1492,-75.7148110681234,5.6950452749858,76.3182433348645,89.1353247007208
22,"El Tabor","Fátima",1151320,1121756,1434,5,1439,-75.7116058836989,5.69561626400734,76.205122483069,89.4366806834818
23,"El Tabor","La Constancia",1151574,1121813,1427,1.8,1428.8,-75.7093123556698,5.69612611743998,76.1786520563024,89.7231831314875
